,unique,outcome_type,description_fi,description_en
119,11Kokkolan kaupunkiLukion opettajuus päivittyy  ohjaamaan tulevaisuuden osaamiseen,0,Lukiokoulutuksen henkilöstön ja yliopistollisen opettajankoulutusyksikön välisen pedagogisen täydennyskoulutuksen mallinnus ja koulutusohjelma. Oman opettajuuden pedagoginen kehittäminen uuden opetussuunnitelman lähtökohdista. Koulutuksessa esiteltyjä ja hyödynnettyjä uusia yhteistoiminnallisia työmenetelmiä ja toimintamalleja. Uusien sähköisten työvälineiden ja ohjelmien hyödyntäminen oppimisprosessien toteutuksen osana.   ,Modeling and training program for in-service pedagogical training between upper secondary school staff and the university teacher training unit. Pedagogical development of one&#39;s own teaching from the starting points of the new curriculum. New collaborative working methods and operating models presented and utilized in the training. Utilization of new electronic tools and programs as part of the implementation of learning processes.
120,11Kokkolan kaupunkiLukion opettajuus päivittyy  ohjaamaan tulevaisuuden osaamiseen,0,"Julkaisu:  Uusi lukio - uskalla kokeilla! Pedagoginen ikkuna koulumaailmaan. (Toimittaneet Merja Meriläinen ja Maarika Piispanen). Julkaisun osoite: http://urn.fi/URN:ISBN:978-951-39-7461-9.Hankkeen koulutusosioiden ja kokemusten pohjalta laadittu artikkelijulkaisu, joka kuvaa oppimisen autenttisuutta, konteksteja ja pedagogiikkaa, arviointia oppimisen ohjaajana, oppimistatukevia oppimisympäristöjä, tiloja ja paikkoja ja tiimiopettajuutta. Artikkelikokoelma on syntynyt yhteistyössä opettajien, rehtoreiden ja koulutusvalmentajien kanssa. Se avaa pedagogisen ikkunan koulumaailmaan Uusi lukio – Uskalla kokeilla -viitekehyksissä.","Release: New high school - dare to try! A pedagogical window to the school world. (Edited by Merja Meriläinen and Maarika Piispanen). Publication address: http://urn.fi/URN:ISBN:978-951-39-7461-9. Article publication based on the educational sections and experiences of the project, describing the authenticity of learning, contexts and pedagogy, assessment as a learning facilitator, learning support environments, facilities and places and team teaching. The collection of articles has been created in collaboration with teachers, principals and training coaches. It opens a pedagogical window to the school world in the New High School - Dare to Try frame of reference."
121,11Hämeen ammattikorkeakoulu OymOPO ei karkaa käsistä,0,mOPOn ohjaus digiympäristöissä –sivusto: https://sites.google.com/hamk.fi/mopo2/mopoTuotos on muodoltaan hakemuksessa esitetyn mukaisesti kevyt verkkojulkaisu/-sivusto. Siinä esitetään tiiviissä muodossa mOPO-hankkeen/koulutuksen keskeiset näkökulmat ja käsitteet sekä tarjotaan linkit teemasta tuotettuun artikkeliin sekä aiheeseen liittyville sivustoille. Sivusto on yhteenvedonomainen ja tarkoitus on syventää/laajentaa sivustoa tarpeen mukaan kulloinkin käytettävissä olevien resurssien puitteissa. ,mOPO control in digital environments website: https://sites.google.com/hamk.fi/mopo2/mopoTuotas is a lightweight online publication / website in the form described in the application. It summarizes the key aspects and concepts of the mOPO project / training and provides links to an article produced on the theme and related sites. The site is a summary and the purpose is to deepen / expand the site as needed within the available resources.
122,"11Matemaattisten Aineiden Opettajien Liitto, MAOL ryTieto- ja viestintäteknologian pedagoginen hyödyntäminen matematiikassa, fysiikassa ja kemiassa",0,"Kurssien materiaalit tuotettiin avoimesti Peda.net ympäristöön opettajien saataville. Kouluttajat rakensivat niin harjoitustehtäviä kurssille, esimerkkitehtäviä, koulutusmateriaalia, opettajien hyödynnettäväksi tarkoitettua digitaalisia aineistoja ja koetehtävien esimerkkejä. Monipuolinen aineisto tuki kurssi kaikissa eri vaiheissa ja mahdollisti myös niiden opettajien tukemista, jotka eivät päässeet itse kurssille aikataulun, kurssien täyttymisen tai muun syyn vuoksi.  ","The course materials were openly produced in the Peda.net environment for teachers to access. The trainers built such exercises for the course, example tasks, training materials, digital materials for teachers to use, and examples of test tasks. The diverse material supported the course at all stages and also made it possible to support teachers who were unable to attend the course themselves due to schedule, course completion or other reason."
123,11Ilona IT OyMobiilitotaali-MOTO,0,"Oma kehittämissuunnitelma Kukin osallistuja/osallistujapari tuotti oman kehittämissuunnitelman haluamassaan muodossa (video, teksti, kuvaesitys) pohjautuen yhteisesti käsiteltyihin TPACK- ja SAMR-malleihin. Kehittämissuunnitelmassa osallistujat pohtivat omia oppimistarpeitaan, sekä oman oppilaitoksen kehittämistarpeita ja tavoitteita liittyen mobiililaitteiden hyödyntämiseen oppimisessa. Suunnitelmien pohjalta käytiin yhdessä keskustelua siitä, mikä on nykyinen osaaminen ja miten Mobiilitotaalista voisi saada kaiken irti oman oppimisen ja koko oman kouluyhteisön oppimisen kannalta. Suunnitelmiin palattiin ohjauskeskusteluissa keväällä, sekä loppukeskusteluissa viimeisellä kerralla. Kehittymissuunnitelmat ovat tallessa Mobiilitotaalin REAL-oppimisympäristössä tarkasteltaviksi. ","Own development plan Each participant / pair of participants produced their own development plan in the desired format (video, text, slideshow) based on the jointly discussed TPACK and SAMR models. In the development plan, participants reflect on their own learning needs, as well as the development needs and goals of their own educational institution in relation to the use of mobile devices in learning. On the basis of the plans, there was a joint discussion about what the current skills are and how you could get the most out of Mobile Total in terms of your own learning and the learning of the whole school community. The plans were returned to in the steering discussions in the spring, and in the final discussions for the last time. The development plans are stored in the REAL learning environment of the Mobile Total for review."
124,11Ilona IT OyMobiilitotaali-MOTO,0,"Omaan substanssiin liittyvä opetuskokonaisuus/-osio Mobiilitotaalilaiset suunnittelivat mobiililaitteita hyödyntävät opetuskokonaisuudet liittyen syksyn aikana käsiteltyihin pilvipalveluiden työkaluihin, sekä teoreettiisin viitekehyksiin. Tehtävänannossa painotettiin, että kuvauksen tulee olla niin selkeä, että toinen kollega pystyy hyödyntämään sitä oman toteutuksen pohjana. Osa jatkoi kokonaisuutensa jalostamista seuraavissa osioissa heille annetun ohjauksen ja palautteen pohjalta eteenpäin, jolloin eri koulutusosioiden yksittäiset sisällöt (esim. pilvipalvelut ja monilukutaito) tukivat hyvin toisiaan. Kun suunnitelmat on dokumentoitu pilvipalveluun, niiden muokkaaminen ja jatkaminen on helppoa. Osallistujien tuotoksia löytyy oheisesta linkistä: http://bit.ly/moto1617 ","Teaching unit / section related to own substance Mobile totals designed teaching units utilizing mobile devices in connection with the cloud service tools discussed during the autumn, as well as the theoretical reference frameworks. The assignment emphasized that the description should be so clear that another colleague can use it as a basis for their own implementation. Some continued to refine their whole in the following sections on the basis of the guidance and feedback given to them, with the individual contents of the different training sections (e.g. cloud services and multi-literacy) supporting each other well. Once the plans are documented in the cloud service, they are easy to edit and continue. The participants&#39; outputs can be found at the following link: http://bit.ly/moto1617"
125,11Ilona IT OyMobiilitotaali-MOTO,0,"Opetuskokeilu, joka tukee oppijayhteisön monilukutaitoa Suunnittelun pohjana hyödynnettiin vierailevien asiantuntijoiden sisältöjä liittyen monilukutaitoon ja kamerakynän pedagogiikkaan. Teknisesti opittiin tuottamaan infograafi, podcast-lähetys, opetusvideo, animaatio ja näiden yhdistelmä. Koska monille nämä olivat jo tuttuja työkaluja, monipuolistettiin tehtävänantoa suunnittelutehtäväksi, eikä vain tekniseksi tuotokseksi alkuperäisen suunnitelman mukaan. Jälleen tuloksena oli monta hienoa kokeilua, joita voidaan jakaa koko Suomen opettajille nähtäviksi. Osallistujien tuotoksia löytyy oheisesta linkistä: http://bit.ly/moto1617 ","Teaching experiment that supports the multilingual literacy of the learner community The content of the visiting experts related to multilingual literacy and camera pen pedagogy was utilized as the basis for the design. Technically, they learned to produce an infograph, a podcast, an instructional video, an animation, and a combination of these. As these were already familiar tools to many, the assignment was diversified into a design task, and not just a technical output according to the original plan. Again, the result was many great experiments that can be shared with teachers throughout Finland to see. The participants&#39; outputs can be found at the following link: http://bit.ly/moto1617"
126,11Ilona IT OyMobiilitotaali-MOTO,0,"Oma pelillistetty oppimiskokonaisuus Mobiilitotaalilaiset suunnittelivat eri laajuisia (yksi tunti-yksi vuosi) pelillistettyjä oppimiskokonaisuuksia, joihin voi liittyä osia joissa hyödynnetään mobiiliteknologiaa tai osia, joissa ei hyödynnetä teknologiaa lainkaan. Suunnitelmat koostuivat pelillisistä elementeistä, kuten juonesta, säännöistä, pisteytyksistä/palautteesta ja palkitsemisesta. Taas kriteerinä oli tehdä suunnitelmasta sellainen, jonka myös toinen opettaja pystyy halutessaan toistamaan. Koska toteutus oli niin myöhään keväällä, palattiin arviointiosioon vielä syksyllä 2017. Osallistujien tuotoksia löytyy oheisesta linkistä: http://bit.ly/moto1617 ","Own game-based learning entity Mobile totals designed game-based learning entities of different scales (one hour-one year), which may include parts that utilize mobile technology or parts that do not utilize technology at all. The plans consisted of game elements such as plot, rules, scoring / feedback and rewards. Again, the criterion was to make the plan one that another teacher can repeat if they wish. Because the implementation was so late in the spring, we returned to the evaluation section in the autumn of 2017. The participants&#39; outputs can be found at the following link: http://bit.ly/moto1617"
127,11Ilona IT OyMobiilitotaali-MOTO,0,"Omaan aihepiiriin liittyvä ilmiölähtöinen oppimiskokonaisuusOsallistujat suunnittelivat monialaisia, ilmiölähtöisiä, pistetyöskentelyä ja tutkivaa oppimista hyödyntäviä kokonaisuuksia hyödyntäen kaikkea aiemmin hankkeessa opittua. Osa esitteli omassa oppilaitoksessaan jo toteutuneita MOK-projekteja ja sai niiden jalostamiseen ideoita. Pelillisyysosiossa vähemmälle jäänyt arviointiasia otettiin käsittelyyn ja jokaisen piti kuvata myös arvioinnin toteuttamista mobiililaitteita hyödyntäen. Osallistujien tuotoksia löytyy oheisesta linkistä: http://bit.ly/moto1617 ","Phenomenon-based learning package related to their own topicParticipants designed multidisciplinary, phenomenon-based, point-based and exploratory learning entities, utilizing everything previously learned in the project. Some presented the MOK projects that had already been implemented in their own educational institution and got ideas for refining them. In the gameplay section, the lesser evaluation issue was taken into account and everyone also had to describe the implementation of the evaluation using mobile devices. The participants&#39; outputs can be found at the following link: http://bit.ly/moto1617"
128,11Ilona IT OyMobiilitotaali-MOTO,0,"Oman tulevaisuuden teknologiamaiseman tuottaminen Osallistujilla oli tehtävänä pohtia oman koulunsa tulevaisuuden teknologiamaisemaa. Tehtävä oli kuitenkin yllättävän monelle todella vaikea, sillä tällä hetkellä jo ihan opetuksen perusohjelmat ja sovellukset tuntuvat olevan niin uutta.  Niinpä kuvasimme maiseman yhteisesti keskustellen, aiheeseen liittyvän luennon inspiroimana livenä ja Facebook-ryhmässä. Kouluttajan ohjauksessa alkoi löytyä näkökulmia siihen, miten muun maailman teknologinen muutos vaikuttaa jo nyt ja tulevaisuudessa oppimiseen ja opetukseen. ","Producing their own future technology landscape Participants were tasked with reflecting on the future technology landscape of their own school. However, the task was really difficult for a surprising number of people, because at the moment the basic programs and applications of teaching seem to be so new. So we photographed the landscape by discussing it together, as a live lecture inspired by a related lecture and in a Facebook group. Under the guidance of the educator, perspectives began to be found on how technological change in the rest of the world is already and in the future affecting learning and teaching."
129,11Metropolia Ammattikorkeakoulu OySÄPE - Säveltämisen pedagogiikan koulutus- ja kehittämishanke,0,Seminaareissa ja alueellisissa ryhmissä kehitettiin pedagogisia käytäntöjä ja sovelluksia ja niistä julkaistiin syksyllä 2017 koulutuksen loppujulkaisu Reseptejä säveltämisen ohjaukseen http://www.theseus.fi/handle/10024/13872,"In seminars and regional groups, pedagogical practices and applications were developed and the final publication of the training, Recipes for Composing Guidance, was published in autumn 2017. http://www.theseus.fi/handle/10024/13872"
130,11HY+ AbDe otroliga åren – att stöda barnets emotionella och sociala kompetens,0,"Under utbildningshelheten De Otroliga Åren 5sp skapades en kursblogg som användes delvis som inlärningsmetod samt delvis som kunskapsplattform. Länk till bloggen är https://blogs.helsinki.fi/deotroligaaren/ Alla deltagare skrev inlägg och kommenterade aktivt till varje närstudiedag. Även utbildarna var aktiva på bloggen och delade med sig av tilläggsmaterial för kursen. Bloggens inlägg baserade sig på tankar kring kapitlen i kursboken samt koppling till egna tankar och åsikter. Deltagarna på utbildningen ombads att dela med sig av kursbloggen till sina kollegor på jobbet. I feedbacken för utbildningen framkom det att bloggen varit väldigt omtyckt bland deltagarna och uppfattats som ett passande hjälpmedel för denna utbildning, vilket är glädjande att höra.","During the educational unit De Otroliga Åren 5sp, a course blog was created which was used partly as a learning method and partly as a knowledge platform. Link to the blog is https://blogs.helsinki.fi/deotroligaaren/ All participants wrote posts and actively commented on each close study day. The educators were also active on the blog and shared additional material for the course. The blog&#39;s posts were based on thoughts about the chapters in the course book and a connection to one&#39;s own thoughts and opinions. Participants in the training were asked to share the course blog with their colleagues at work. In the feedback for the training, it emerged that the blog was very popular among the participants and was perceived as a suitable aid for this training, which is gratifying to hear."
131,11Lapin yliopisto / Koulutus- ja kehittämispalvelutLukioiden sähköiset oppimisalustat käyttöön 10 op,0,Lukion sähköiset alustat hyötykäyttöön lukiossamme aine- ja lukiokohtaisesti * 7. Opetuksen kehittämiseksi lukiokohtaisesti valmistellut kehittämistehtävät.,High school electronic platforms for utilization in our high school by subject and high school * Development tasks prepared for the development of teaching in each high school.
132,11Toimihenkilöjärjestöjen Opintoliitto ry / Helsingin aikuisopistoAikuisten maahanmuuttajien luku- ja kirjoitustaidon opettajaksi valmentava koulutus,0,"Hankkeen molempien toteutusten tuotokset ovat koottuina oppimisalustoilla. Osallistujia, jotka suorittivat kaikki osiot ja saivat todistuksen oli yhteensä 67 (ensimmäinen toteutus 35, toinen 32). Tehtäviä oli molemmissa toteutuksissa 8, joten valmiita tuotoksia on yhteensä 536. Osallistujat voivat jakaa niitä keskenään ja omissa työyhteisöissään sopimuksen mukaan ja tekijänoikeudet huomioiden. Koulutuksesta kirjoitetaan kooste Edu.fi –sivuston Hyvät käytännöt –osioon, josta se leviää laajalle lukijakunnalle. ","The outputs of both implementations of the project are compiled on learning platforms. There were a total of 67 participants who completed all sections and received a certificate (first implementation 35, second 32). There were 8 tasks in both implementations, so there are a total of 536 completed outputs. Participants can share them with each other and in their own work communities according to the agreement and taking into account copyright. A summary of the training is written in the Good Practices section of the Edu.fi website, from where it is disseminated to a wide readership."
133,"11Opettajankoulutuslaitos, Helsingin yliopistoLukioiden kehittyvä ja sähköistyvä arviointikulttuuri – Arviointi aktiivisen ja tavoitteellisen oppimisen tukena",0,Verkkosivu ja blogi: Kurssin verkkosivuilla ja blogissa jaettiin kurssin materiaalia ja kurssilla heränneitä ajatuksia. Kurssin materiaalit levisivät hyvin myös opettajien omiin työyhteisöihin ja moni kurssilaisista koulutti omalla koulullaan kollegoitaan kurssin pohjalta. Kurssilla kannustettiin opettajia perustamaan lukioihinsa arvioinnin kehittämistyöryhmiä ja näitä moni kertoikin saaneensa omaan lukioonsa kurssin ja sen oppien jakamisen myötä. Kurssin sisällöt koettiin tärkeiksi ja moni koki ettei kurssi kuitenkaan käskyttänyt mihinkään tiettyyn arviointimalliin vaan tuki jokaista opettajaa oman arviointinsa eteenpäin kehittämisessä ja tarkastelussa. Kurssin materiaalit nivoivat yhteen teoriaa ja käytäntöä tavalla joka mahdollisti teorian siirtämisen eri oppiaineisiin ja opettajan omaan arkeen useiden välitehtävien ja esimerkkien kautta.,"Website and blog: The course website and blog shared course material and ideas generated during the course. The materials of the course also spread well to the teachers&#39; own work communities and many of the course participants trained their colleagues in their own school on the basis of the course. The course encouraged teachers to set up assessment development teams in their high schools, and many said that they had their own high school through the course and the sharing of its lessons. The content of the course was considered important and many felt, however, that the course did not instruct any particular assessment model but supported each teacher in further developing and reviewing their own assessment. The materials of the course intertwined theory and practice in a way that made it possible to transfer theory to different subjects and to the teacher&#39;s own daily life through several intermediate tasks and examples."
134,11Itä-Suomen yliopisto / AducateKasva johtajana,0,"Henkilökohtaisen johtajaidentiteetin valmennuspaketti, PsT Pauli Kallio. Valmennuspaketti sisältää omaan johtajuuteen integroidut ennakko- ja jälkitehtävät, ja niiden tueksi tietopuolisen paketin, kollegiaalisen työpajan sekä ohjattuja harjoituksia. Valmennus etenee omaan työhön sovellettuna prosessina, jonka lopputuloksena on tietoisen johtajuuden kehittyminen.  ","Personal Leadership Identity Training Package, PsT Pauli Kallio. The coaching package includes pre- and post-assignments integrated into your own leadership, and is supported by an information package, a collegial workshop and guided exercises. Coaching proceeds as a process applied to one’s own work, resulting in the development of conscious leadership."
135,11Itä-Suomen yliopisto / AducateKasva johtajana,0,"Haastavien johtamistilanteiden ratkaisuvalmennus, PsT Pauli Kallio ja YTM Arttu Puhakka. Valmennuspaketti sisältää toimivaan henkilöstöjohtamiseen liittyvät ennakko- ja jälkitehtävät, sekä niiden tueksi tietopuolisen paketin, case-työpajan sekä ohjattuja ratkaisukeskeisiä harjoituksia sekä välineitä omaa työskentelyyn. Valmennus etenee omaan työhön sovellettavana prosessina, jonka lopputuloksena on erilaisiin haastaviin johtamistilanteisiin liittyvän mallin ja ratkaisuvaihtoehtojen oppiminen ja soveltaminen johonkin ajankohtaiseen tilanteeseen. ","Solution coaching for challenging management situations, Pauli Kallio, PhD, and Arttu Puhakka, M.Sc. The coaching package includes pre- and post-assignments related to effective human resource management, as well as an information-based package, a case workshop and guided solution-focused exercises as well as tools for one&#39;s own work to support them. Coaching proceeds as a process applicable to one&#39;s own work, the end result of which is the learning and application of a model and solution options related to various challenging management situations to a current situation."
136,11Itä-Suomen yliopisto / AducateKasva johtajana,0,"Koulutus-/Informaatiopaketti vanhempien kanssa tapahtuvaan yhteistyöhön, KM Ulla Peräkorpi. Paketti sisältää verkosta vapaasti saatavilla olevia/olleita resursseja, mm. Opetushenkilöstön tuntemien hyvien käytäntöjen esittelyjä, tapauskuvauksen häirinnästä koulussa, 40 tulevaisuusväitettä ops-työskentelyn rungoksi, Oppilaan oikeuksista ja vanhempien vastuusta, erilaisia keskustelumalleja kouluun.   ","Training / Information package for cooperation with parents, KM Ulla Peräkorpi. The package includes resources that are freely available / available online, e.g. Demonstrations of good practices known to teaching staff, case studies on harassment at school, 40 forward-looking statements as the backbone of ops work, Pupil rights and parental responsibility, various discussion models for the school."
137,11Itä-Suomen yliopisto / AducateKasva johtajana,0,"Rehtorin työkalupakki - viestinnän välineet, Jouni Turunen, Sencom Oy. Sisältö: Henkilökohtaisen viestinnän välineet, Oman organisaation viestinnän välineet, Viestintä sidosryhmille ja julkinen viestintä sekä Viestinnän mahdollisuudet ja uhat, tietoturva, tekijänoikeudet.Koulutusosiossa tutustuttiin vuorovaikutukseen ja viestintään verkossa. Erityinen paino oli mobiilien välineiden hyödyntämisessä. Jaksolla esiteltiin erilaisia verkkoympäristöjä, jossa yhteisöllinen kirjoittaminen ja sisällön jakaminen ovat mahdollisia.Koulutusosio toteutettiin työpajana,  yhteisiä hyviä käytänteitä jakaen ja arvioiden. Osallistujat arvioivat omaa ja oman organisaation viestintää, sekä sitä millä tavoin sitä voisi edelleen kehittää sopivia viestinnän kanavia hyödyntäen.","Rector &#39;s toolkit - communication tools, Jouni Turunen, Sencom Oy. Content: Personal communication tools, Communication tools for one&#39;s own organization, Communication to stakeholders and public communication, as well as Communication opportunities and threats, information security, copyright. The training section introduced interaction and online communication. Particular emphasis was placed on the use of mobile devices. The course introduced different online environments where community writing and content sharing are possible. The training section was implemented as a workshop, sharing and evaluating common good practices. Participants will evaluate their own and their organisation&#39;s communication, as well as how it could be further developed using appropriate communication channels."
138,11Itä-Suomen yliopisto / AducateKasva johtajana,0,"Koulutus-/Informaatiopaketti työelämän juridiikasta koulussa, HTT, professori Tarmo Miettinen. Koulutusjaksolla käsiteltiin kunnallisen virkamiesoikeuden ja yleisen työoikeuden perusteita koulun johtamisen  näkökulmasta. Oikeudellista sääntelyä konkretisoitiin oikeus- ja laillisuusvalvontakäytännön avulla. Informaatiopaketin pääkohdat: 1. Virkasuhde ja virkajärjestelmä, 2. Virkasuhteen alkaminen, 3. Viranomaisen velvollisuudet, 4. Viranhaltijan oikeudet ja velvollisuudet, 5. Virkasuhteen päättyminen ja 6. Viranhaltijan oikeusturva.","Training / Information package on working life law at school, HTT, Professor Tarmo Miettinen. The training period dealt with the basics of municipal civil law and general labor law from the perspective of school management. Legal regulation was concretized through the practice of justice and legality control. The main points of the information package are: 1. Officials and the system of duties, 2. Commencement of employment, 3. Duties of the authority, 4. Rights and obligations of the official, 5. Termination of employment and 6. Legal security of the official."
139,"11Lapin yliopisto / Koulutus- ja kehittämispalvelutKOHO - Kohti oppimista, kotoutumista ja kasvua",0,"Hankkeen tuotoksena syntyi Traumatisoituneen oppilaan kohtaaminen ja moniammatillinen tuki 3 op -koulutukseen Lapin alueella osallistuneiden kehittämistehtävien koontiraportti, jossa on vedetty yhteen ohjeistuksia ja hyviä kokemuksia maahanmuuttajataustaisen oppilaan kokonaisvaltaisesta ja tarvittaessa erityisestä tuesta sekä psykososiaalisesta tuesta. Raportti on tämän loppuselvityksen liitteenä.Lisäksi tuotoksena on syntyntyt Traumatisoituneen oppilaan kohtaaminen -koulutukseen osallistuneiden taustaorganisaatioihin ohjeistuksia siitä, miten tarjota tarvittaessa koulun kautta psykososiaalista tai erityistä tukea oppilaalle.","The output of the project was Encountering a Traumatized Pupil and Multidisciplinary Support for a 3 ECTS Training Summary Report of Development Tasks Participants in Lapland, which summarizes guidelines and good experiences of comprehensive and, if necessary, special support and psychosocial support for pupils with an immigrant background. The report is annexed to this final report."
140,11Niilo Mäki InstituuttiOppimisen ja hyvinvoinnin kokonaisvaltainen tuki erilaisille oppijoille,0,Pureudu työrauhaongelmiin yleisen tuen tasollahttps://hyvatkaytannot.oph.fi/kaytanto/1827/?q=4cc0ff250769697a55ad7638801dd511,Break into peace of mind problems at the general support levelhttps: //hyvatkaytannot.oph.fi/kaytanto/1827/? Q = 4cc0ff250769697a55ad7638801dd511
141,11Niilo Mäki InstituuttiOppimisen ja hyvinvoinnin kokonaisvaltainen tuki erilaisille oppijoille,0,"Hankkeen koulutuksissa osallistujat ovat kokeilleet ja soveltaneet luovasti tutkimusperustaisia toimintamalleja omaan työhönsä sopiviksi ja ammatillista kehittymistä tukevaksi. Toimintamallit ovat vahvistaneet varhaiseen tukeen, oppimisen ja koulunkäynnin tukeen ja hyvinvointiin ja turvallisuuteen liittyvää osaamista. Toimintamalleista osallistujat ovat raportoineet oppimistehtävissä, jotka ovat liittyneet kehityksen ja oppimisen arviointiin sekä erilaisten tukitoimien suunnitteluun ja soveltamiseen omassa työssä. Osallistujiat ovat raportoineet koulutuksissa syntyneistä arjen toimintamalleista oppimistehtävien ja luentopäiväkirjojen kautta ja jakaneet kokemuksiaan mm. koulutusten lähipäivien aikana tai koulutusten verkkoympäristöissä.","In the trainings of the project, the participants have experimented and creatively applied research-based operating models suitable for their own work and supporting professional development. Policies have strengthened expertise in early childhood support, learning and schooling support, and well-being and safety. Participants have reported on operating models in learning tasks related to the assessment of development and learning, as well as the planning and application of various support measures in their own work. Participants have reported on everyday operating models created in the training through learning assignments and lecture diaries, and shared their experiences, e.g. during the next few days of training or in online training environments."
142,"11Jyväskylän kaupunki, Sivistyksen toimiala, Varhaiskasvatus ja perusopetusKoulussa digittää - Yhteisöllistä ja kestävää täydennyskoulutus Keski-Suomessa",0,"Koulussa digittää -koulutusmalli osaamisen kehittämiseenhttps://peda.net/hankkeet/digi/koulutusmalli/o2:file/download/f0256d1ab59a6e98c16b74efca7e50566c622b83/osaamisen-kehittaminen.jpgHankkeessa toteutettiin nelivaiheista osaamisen kehittämisen koulutusmallia, jossa ensimmäisessä vaiheessa kartoitettiin, millaista osaamista opettaja/koulu/kunta juuri tällä hetkellä tarvitsee. Tulosten pohjalta luotiin sekä TVT-ohjaajalle että koululle/kunnalle tavoitteet osaamisen kehittämiselle. Kun tavoitteet olivat selvillä, TVT-ohjaajakoulutettavat loivat kouluttautumissuunnitelmat, visioivat koulun toimintakulttuurin kehittämistä ja suunnittelivat askelmerkkejä kouluttautumiselleen. TVT-ohjaajien kouluttautuminen ja edelleen kehittäjäkoulujen muiden opettajien kouluttautuminen oli neljäs vaihe, joka suoritettiin pääasiassa työssä oppimalla vierikoulutuksen, yhteisopettajuuden ja kouluvaltausten avulla. https://peda.net/hankkeet/digi/koulutusmalli/o3:file/download/d74c6f84b80da6430d6aaaf41a7ce4b5ebdbb32b/osaamisen-kehittaminen-omalla-tyopaikalla.jpgSen lisäksi toteutettiin alueellisia koulutuksia, verkkokoulutuksia ja jaettiin tietoa sosiaalisessa mediassa hyödyntäen muiden TVT-ohjaajien osaamista.https://peda.net/hankkeet/digi/koulutusmalli/o6:file/download/11100c7e847eb7755ebba6cf3ea82a112f18df59/osaamisen-kehittaminen-alueellisesti.jpghttps://peda.net/hankkeet/digi/koulutusmalli/o:file/download/90dd4c39507e6b78168abb9f69d7b012307cecbb/opettajan-tiekartta.jpgHankkeessa pidettiin loppuseminaari Tulevaisuus haastaa oppimisen 2018-tapahtuman yhteydessä. Ohessa tapahtuman yhden esityksen/työpajan esitysdiat:https://docs.google.com/presentation/d/1xMMlGu6EhtTiG8SXskQGA9GG-asFAjotjdMRzmvNXQY/edit#slide=id.p","Digitize in school training model for competence developmenthttps: //peda.net/hankkeet/digi/koulutusmalli/o2: file / download / f0256d1ab59a6e98c16b74efca7e50566c622b83 / competence-development.jpgThe project was implemented in four stages of competence development training. right now needs. Based on the results, goals for competence development were created for both the ICT instructor and the school / municipality. Once the goals were clear, the ICT instructor trainees created training plans, envisioned the development of the school’s operating culture, and designed step signs for their training. The training of ICT instructors and further the training of other teachers in the developer schools was the fourth stage, which was carried out mainly through on-the-job learning, co-teaching and school takeover. https://peda.net/hankkeet/digi/koulutusmalli/o3:file/download/d74c6f84b80da6430d6aaaf41a7ce4b5ebdbb32b/saosan-kehittaminen-omalla-tyopaikalla.jpgIn addition, regional trainings, online trainings and information were shared on social media for the benefit of others. : //peda.net/hankkeet/digi/koulutusmalli/o6: file / download / 11100c7e847eb7755ebba6cf3ea82a112f18df59 / competence-development-regionally.jpghttps: //peda.net/hankkeet/digi/koulutusmalli/o: file / download / 90dd4c7508 -tiekartta.jpgThe final seminar of the project held in connection with the 2018 event was held in the project. Attached are slides from one presentation / workshop for the event: https: //docs.google.com/presentation/d/1xMMlGu6EhtTiG8SXskQGA9GG-asFAjotjdMRzmvNXQY/edit#slide=id.p"
